Code,State,Count
AK,Arkansas,13
AL,Alaska,6
AZ,Arizona,30
CA,California,69
CO,Colorado,147
CT,Connecticut,16
DC,Washington D.C.,5
DE,Delaware,1
FL,Florida,19
GA,Georgia,5
HI,Hawaii,11
IA,Iowa,23
ID,Idaho,13
IL,Illinois,33
IN,Indiana,41
KS,Kansas,16
KY,Kentucky,3
LA,Louisiana,11
MA,Massachusetts,25
MD,Maryland,9
ME,Maine,13
MI,Michigan,37
MN,Minnesota,19
MO,Missouri,12
MS,Mississippi,4
MT,Montana,26
NC,North Carolina,25
NE,Nebraska,15
NH,New Hampshire,2
NM,New Mexico,8
NV,Nevada,10
NY,New York,40
OH,Ohio,6
OK,Oklahoma,7
OR,Oregan,46
PA,Pennsylvania,26
RI,Rhode Island,14
SC,South Carolina,5
SD,South Dakota,3
TN,Tennessee,2
TX,Texas,39
UT,Utah,10
VA,Virginia,4
VT,Vermont,8
WA,Washington,44
WI,Wisconsin,31
WY,Wyoming,7
